seller_id,platform,category,kind,region,impressions,clicks,enrolled,risk_rating,manual_file_ingested,optin_cta_tagged,impression_tag_valid,click_date,enrollment_date,product_opted,campaign_id,seller_tenure_months,conversion_rate
SELL10000,Web,Fashion,Individual,North,4,0,0,3.71,Yes,No,Yes,17-04-2025,,Stored Value,CMP195,14,0
SELL10001,Mobile Web,Fashion,Enterprise,West,8,8,1,1.88,No,Yes,Yes,15-02-2025,08-04-2025,One-Time Fee,CMP532,22,1
SELL10002,App,Electronics,Individual,West,9,2,1,1.39,No,No,Yes,17-04-2025,20-02-2025,One-Time Fee,CMP570,35,0.22
SELL10003,App,Toys,Small Business,South,4,3,1,3.82,Yes,Yes,No,03-04-2025,28-03-2025,Stored Value,CMP975,15,0.75
SELL10004,Mobile Web,Home,Individual,East,4,3,1,2.42,No,Yes,Yes,08-03-2025,04-04-2025,One-Time Fee,CMP846,16,0.75
SELL10005,Mobile Web,Toys,Individual,East,6,3,1,4.37,Yes,Yes,Yes,08-02-2025,25-04-2025,Subscription,CMP510,18,0.5
SELL10006,Mobile Web,Home,Individual,West,3,1,0,2.58,No,Yes,No,23-02-2025,,Stored Value,CMP352,36,0.33
SELL10007,App,Toys,Small Business,East,18,8,0,1.88,Yes,No,Yes,07-03-2025,,Stored Value,CMP981,8,0.44
SELL10008,Mobile Web,Books,Enterprise,North,5,5,1,2.54,No,No,Yes,17-04-2025,22-02-2025,One-Time Fee,CMP838,8,1
SELL10009,App,Electronics,Small Business,West,18,8,0,1.63,Yes,No,Yes,29-03-2025,,One-Time Fee,CMP208,20,0.44
SELL10010,Web,Toys,Enterprise,North,17,6,1,3.4,No,Yes,Yes,04-04-2025,28-02-2025,Subscription,CMP999,20,0.35
SELL10011,Mobile Web,Electronics,Individual,West,8,0,0,4.26,Yes,Yes,No,12-02-2025,,One-Time Fee,CMP269,17,0
SELL10012,Mobile Web,Fashion,Enterprise,East,17,13,0,2.6,No,No,No,31-01-2025,,Stored Value,CMP353,15,0.76
SELL10013,Mobile Web,Fashion,Enterprise,South,3,2,1,1.03,Yes,Yes,Yes,13-03-2025,14-03-2025,Stored Value,CMP980,22,0.67
SELL10014,App,Fashion,Enterprise,South,3,1,1,3.89,No,Yes,No,07-03-2025,01-02-2025,Subscription,CMP294,7,0.33
SELL10015,App,Books,Enterprise,North,4,3,1,3.69,Yes,Yes,No,07-04-2025,07-03-2025,One-Time Fee,CMP447,7,0.75
SELL10016,App,Fashion,Small Business,South,8,3,1,2.11,Yes,Yes,No,23-02-2025,21-02-2025,One-Time Fee,CMP200,4,0.38
SELL10017,Web,Fashion,Small Business,West,18,0,0,2.93,No,Yes,Yes,28-03-2025,,Subscription,CMP102,25,0
SELL10018,Mobile Web,Toys,Enterprise,West,9,7,1,1.62,No,Yes,Yes,21-03-2025,15-02-2025,One-Time Fee,CMP853,35,0.78
SELL10019,Web,Toys,Small Business,South,2,2,1,1.23,Yes,Yes,Yes,21-03-2025,19-04-2025,One-Time Fee,CMP169,16,1
SELL10020,Mobile Web,Fashion,Enterprise,North,13,1,0,3.48,No,No,No,08-02-2025,,Stored Value,CMP785,21,0.08
SELL10021,Mobile Web,Home,Small Business,East,8,4,1,4.72,Yes,Yes,No,02-04-2025,18-02-2025,One-Time Fee,CMP676,7,0.5
SELL10022,Web,Home,Individual,South,3,1,1,2.48,Yes,No,No,20-03-2025,24-04-2025,One-Time Fee,CMP926,34,0.33
SELL10023,Web,Fashion,Small Business,North,1,1,0,4.56,Yes,No,No,26-04-2025,,One-Time Fee,CMP315,22,1
SELL10024,App,Electronics,Individual,West,7,4,1,4.32,Yes,Yes,No,28-04-2025,30-01-2025,Stored Value,CMP752,17,0.57
SELL10025,Mobile Web,Books,Enterprise,North,6,5,1,1.45,Yes,Yes,No,05-02-2025,25-04-2025,One-Time Fee,CMP665,10,0.83
SELL10026,App,Electronics,Small Business,South,14,2,1,3.73,Yes,No,No,19-04-2025,05-03-2025,One-Time Fee,CMP867,10,0.14
SELL10027,Web,Books,Individual,South,8,2,0,3.95,No,No,Yes,09-04-2025,,Subscription,CMP263,7,0.25
SELL10028,App,Fashion,Individual,West,13,13,1,2.4,Yes,Yes,Yes,20-02-2025,06-02-2025,One-Time Fee,CMP297,26,1
SELL10029,App,Home,Enterprise,West,11,4,0,3.72,No,Yes,Yes,29-03-2025,,Subscription,CMP282,17,0.36
SELL10030,App,Home,Small Business,North,2,0,0,2.54,Yes,No,Yes,21-03-2025,,One-Time Fee,CMP546,1,0
SELL10031,Mobile Web,Fashion,Small Business,West,17,17,1,1.28,No,No,Yes,03-02-2025,14-03-2025,One-Time Fee,CMP407,33,1
SELL10032,App,Home,Enterprise,South,10,10,1,1.77,No,Yes,No,05-03-2025,02-04-2025,Subscription,CMP661,1,1
SELL10033,Mobile Web,Toys,Enterprise,East,10,4,1,2.86,No,Yes,No,04-04-2025,08-02-2025,One-Time Fee,CMP273,6,0.4
SELL10034,Mobile Web,Home,Individual,South,10,8,1,3.69,Yes,Yes,Yes,15-02-2025,19-04-2025,Stored Value,CMP147,16,0.8
SELL10035,Mobile Web,Toys,Individual,West,16,2,1,2.98,Yes,Yes,Yes,18-03-2025,21-04-2025,Stored Value,CMP897,28,0.12
SELL10036,Mobile Web,Toys,Small Business,North,8,2,0,3.23,Yes,No,Yes,23-02-2025,,Subscription,CMP783,34,0.25
SELL10037,App,Toys,Enterprise,West,18,10,0,4.32,No,Yes,No,26-04-2025,,Subscription,CMP365,16,0.56
SELL10038,Web,Home,Small Business,North,9,8,1,3.85,Yes,No,No,09-03-2025,10-02-2025,Subscription,CMP653,6,0.89
SELL10039,Mobile Web,Fashion,Enterprise,South,5,1,1,1.26,No,No,No,23-03-2025,28-03-2025,Subscription,CMP163,14,0.2
SELL10040,Mobile Web,Electronics,Enterprise,West,14,6,0,2.91,No,No,No,04-03-2025,,Subscription,CMP651,35,0.43
SELL10041,App,Books,Small Business,North,20,7,1,2.56,No,Yes,No,21-03-2025,21-02-2025,Stored Value,CMP737,35,0.35
SELL10042,Mobile Web,Electronics,Individual,West,1,1,1,1.54,No,Yes,Yes,18-04-2025,23-03-2025,Subscription,CMP488,21,1
SELL10043,App,Home,Small Business,East,7,7,1,4.34,No,Yes,Yes,17-03-2025,04-04-2025,Subscription,CMP329,5,1
SELL10044,Web,Electronics,Enterprise,South,2,0,0,1.95,No,Yes,Yes,14-02-2025,,Subscription,CMP816,17,0
SELL10045,Mobile Web,Electronics,Individual,East,12,2,1,1.43,Yes,No,No,17-04-2025,11-04-2025,Subscription,CMP832,13,0.17
SELL10046,App,Toys,Individual,North,3,1,1,2.39,No,No,Yes,16-02-2025,04-04-2025,One-Time Fee,CMP763,22,0.33
SELL10047,Web,Books,Small Business,West,1,1,0,3.83,No,Yes,No,01-02-2025,,One-Time Fee,CMP927,35,1
SELL10048,Mobile Web,Toys,Small Business,East,16,14,1,4.41,Yes,No,No,20-03-2025,31-01-2025,Stored Value,CMP868,30,0.88
